variable,sex,mean,SE,X2.5..,X97.5..
lifetimeUse,Men,0.621194263,0.005479944,0.61045377,0.631934757
lifetimeUse,Women,0.676250791,0.004724226,0.666991478,0.685510103
lifetimeUse,all,0.64966245,0.003784024,0.6422459,0.657079
pastyearUse,Men,0.32463799,0.004667295,0.31549026,0.333785719
pastyearUse,Women,0.373068833,0.004497163,0.364254557,0.38188311
pastyearUse,all,0.349680221,0.003431349,0.3429549,0.356405542
lifetimeMisuse,Men,0.118953834,0.003442884,0.112205905,0.125701764
lifetimeMisuse,Women,0.09135346,0.002679963,0.086100829,0.096606092
lifetimeMisuse,all,0.104688705,0.00193408,0.100897977,0.108479432
pastyearMisuse,Men,0.045365033,0.002120142,0.041209631,0.049520434
pastyearMisuse,Women,0.036567471,0.001267762,0.034082703,0.039052239
pastYearMisuse,all,0.040818052,0.001123328,0.038616369,0.043019736
dependence_total_pop,Men,0.00619274,0.000683846,0.004852427,0.007533053
dependence_total_pop,Women,0.004529266,0.000536322,0.003478095,0.005580437
dependence_total_pop,all,0.005332981,0.000411462,0.004526531,0.006139431
dependence_py_users,Men,0.019021255,0.002079253,0.014945994,0.023096517
dependence_py_users,Women,0.012163681,0.001404364,0.009411179,0.014916183
dependence_py_users,all,0.015238316,0.001158138,0.012968406,0.017508225
srcOneDoc,Men,0.316590807,0.020949562,0.27553042,0.357651195
srcOneDoc,Women,0.352957523,0.01983783,0.31407609,0.391838955
srcOneDoc,all,0.333452288,0.013046633,0.307881356,0.359023219
srcGotFrRel,Men,0.393189254,0.022615087,0.348864497,0.437514011
srcGotFrRel,Women,0.360483958,0.023214958,0.314983477,0.40598444
srcGotFrRel,all,0.378025396,0.016398512,0.345884903,0.410165889
srcBoughtFrRel,Men,0.10143761,0.011525006,0.078849012,0.124026207
srcBoughtFrRel,Women,0.102110434,0.014303674,0.074075748,0.130145121
srcBoughtFrRel,all,0.101749566,0.008932715,0.084241767,0.119257365
srcTookFrRel,Men,0.024768055,0.004682932,0.015589678,0.033946433
srcTookFrRel,Women,0.03969523,0.005399718,0.029111978,0.050278482
srcTookFrRel,all,0.031689062,0.003254347,0.025310658,0.038067465
srcMultDocs,Men,0.010726802,0.003549444,0.003770019,0.017683585
srcMultDocs,Women,0.017801597,0.008795342,0.000563044,0.035040151
srcMultDocs,all,0.014007041,0.004563327,0.005063084,0.022950998
srcStoleDoc,Men,0.005949112,0.003032733,5.06E-06,0.011893159
srcStoleDoc,Women,0.003959357,0.002149635,-0.000253851,0.008172565
srcStoleDoc,all,0.005026559,0.00187549,0.001350666,0.008702452
srcDrugDeal,Men,0.06738541,0.008520905,0.050684743,0.084086076
srcDrugDeal,Women,0.040101445,0.007098176,0.026189274,0.054013615
srcDrugDeal,all,0.05473516,0.005495641,0.043963901,0.065506418
mainRsnPain,Men,0.131416756,0.013975279,0.104025712,0.1588078
mainRsnPain,Women,0.163599589,0.020292385,0.123827244,0.203371933
mainRsnPain,all,0.146338373,0.01181152,0.12318822,0.169488527
mainRsnRelax,Men,0.034016591,0.005797273,0.022654144,0.045379037
mainRsnRelax,Women,0.04512903,0.009904841,0.025715898,0.064542161
mainRsnRelax,all,0.039168889,0.005398357,0.028588303,0.049749475
mainRsnExperiment,Men,0.006919244,0.002194952,0.002617217,0.011221271
mainRsnExperiment,Women,0.003654745,0.001570777,0.000576079,0.00673341
mainRsnExperiment,all,0.005405654,0.001414102,0.002634066,0.008177242
mainRsnHigh,Men,0.066324716,0.008740722,0.049193216,0.083456217
mainRsnHigh,Women,0.036156856,0.005308336,0.025752709,0.046561003
mainRsnHigh,all,0.052337344,0.005266208,0.042015765,0.062658923
mainRsnSleep,Men,0.017046043,0.005036269,0.007175138,0.026916949
mainRsnSleep,Women,0.01034153,0.003721302,0.003047911,0.017635148
mainRsnSleep,all,0.013937486,0.003421088,0.007232277,0.020642695
mainRsnEmotions,Men,0.015583502,0.004605949,0.006556008,0.024610995
mainRsnEmotions,Women,0.026820823,0.006065917,0.014931843,0.038709803
mainRsnEmotions,all,0.020793702,0.003744218,0.013455169,0.028132235
mainRsnOtherDrug,Men,0.002737529,0.001404822,-1.59E-05,0.005490931
mainRsnOtherDrug,Women,0.003298246,0.002010248,-0.000641768,0.00723826
mainRsnOtherDrug,all,0.002997507,0.001219106,0.000608102,0.005386911
mainRsnHooked,Men,0.019190473,0.005107866,0.00917924,0.029201706
mainRsnHooked,Women,0.011117283,0.005379645,0.000573373,0.021661193
mainRsnHooked,all,0.015447327,0.004460727,0.006704462,0.024190192
mainRsnOther,Men,0.001244928,0.000876952,-0.000473867,0.002963722
mainRsnOther,Women,0.002272579,0.001158781,1.41E-06,0.004543748
mainRsnOther,all,0.0017214,0.000705954,0.000337755,0.003105044
